customer_id,tenure_months,contract,internet_service,monthly_charges,total_charges,payment_method,tech_support,online_security,senior_citizen,partner,paperless_billing,num_support_tickets,churn
CUST00077,44,Month-to-month,DSL,99.17,4333.34,Electronic check,No,No,0,Yes,Yes,1,1
CUST00078,64,Two year,Fiber optic,18.12,1148.96,Mailed check,No,Yes,0,No,Yes,1,0
CUST00079,70,Two year,DSL,46.81,3260.24,Bank transfer (automatic),Yes,No,0,No,No,0,0
CUST00080,8,Month-to-month,DSL,77.57,603.83,Electronic check,No,Yes,0,Yes,Yes,0,1
CUST00081,0,One year,Fiber optic,78.74,78.5,Bank transfer (automatic),No,Yes,0,No,Yes,3,0
CUST00082,7,Two year,Fiber optic,97.27,659.95,Electronic check,No,Yes,0,No,Yes,0,1
CUST00083,62,Two year,No,69.6,4256.62,Electronic check,Yes,Yes,0,Yes,No,1,0
CUST00084,10,Month-to-month,No,69.96,689.47,Electronic check,No,No,0,Yes,No,1,1
CUST00085,7,Month-to-month,Fiber optic,91.98,638.09,Credit card (automatic),Yes,No,0,Yes,Yes,0,0
CUST00086,34,Month-to-month,Fiber optic,68.86,2310.61,Bank transfer (automatic),Yes,No,1,No,Yes,0,0
CUST00087,34,Two year,Fiber optic,80.07,2591.08,Bank transfer (automatic),No,Yes,1,No,Yes,1,0
CUST00088,32,Month-to-month,Fiber optic,109.57,3460.51,Bank transfer (automatic),Yes,Yes,0,No,No,3,0
CUST00089,4,One year,No,58.95,224.28,Electronic check,No,Yes,0,No,No,0,1
CUST00090,40,Month-to-month,Fiber optic,57.28,2237.73,Bank transfer (automatic),No,Yes,0,Yes,Yes,1,0
CUST00091,27,Month-to-month,Fiber optic,18.36,491.73,Mailed check,No,No,0,No,No,2,1
CUST00092,6,Month-to-month,DSL,80.57,479.3,Electronic check,Yes,No,1,No,No,2,1
CUST00093,72,Two year,DSL,21.04,1502.86,Bank transfer (automatic),No,No,0,No,Yes,1,0
CUST00094,71,Month-to-month,No,69.42,4830.84,Electronic check,No,No,1,No,Yes,1,0
CUST00095,11,One year,DSL,100.03,1055.43,Electronic check,Yes,Yes,1,No,No,3,0
CUST00096,33,Month-to-month,Fiber optic,74.09,2384.82,Credit card (automatic),Yes,Yes,0,No,Yes,1,0
CUST00097,32,Month-to-month,DSL,45.5,1420.78,Bank transfer (automatic),No,No,0,No,Yes,2,0
CUST00098,47,Month-to-month,No,98.19,4459.12,Bank transfer (automatic),No,No,0,Yes,Yes,0,0
CUST00099,22,Month-to-month,DSL,45.51,972.39,Mailed check,No,No,0,No,No,1,0
CUST00100,61,Month-to-month,No,92.77,5622.8,Mailed check,No,Yes,0,No,Yes,1,0
CUST00101,36,Month-to-month,DSL,80.25,2819.36,Bank transfer (automatic),Yes,Yes,0,No,Yes,0,0
CUST00102,43,Month-to-month,No,35.34,1497.19,Bank transfer (automatic),Yes,Yes,0,Yes,No,2,0
CUST00103,34,Month-to-month,Fiber optic,110.32,3656.32,Mailed check,Yes,No,1,No,No,1,0
CUST00104,64,Two year,DSL,38.47,2414.99,Credit card (automatic),No,Yes,1,Yes,Yes,1,0
CUST00105,46,Two year,Fiber optic,118.94,5223.01,Credit card (automatic),Yes,No,0,Yes,Yes,1,1
CUST00106,2,Month-to-month,DSL,18.75,37.37,Mailed check,Yes,No,1,No,Yes,0,0
CUST00107,0,One year,DSL,44.88,43.61,Credit card (automatic),Yes,No,0,No,No,0,0
CUST00108,4,Two year,No,38.39,151.63,Mailed check,No,Yes,1,No,Yes,2,0
CUST00109,13,Month-to-month,Fiber optic,19.43,248.39,Mailed check,No,No,0,Yes,No,2,1
CUST00110,26,Two year,Fiber optic,92.7,2386.01,Electronic check,Yes,Yes,1,No,Yes,0,0
CUST00111,8,Two year,DSL,88.73,675.59,Bank transfer (automatic),No,No,0,Yes,Yes,2,0
CUST00112,14,Month-to-month,Fiber optic,98.82,1379.01,Credit card (automatic),Yes,Yes,0,Yes,Yes,3,0
CUST00113,41,Month-to-month,No,44.18,1795.96,Credit card (automatic),Yes,Yes,0,Yes,Yes,0,0
CUST00114,50,Two year,Fiber optic,63.32,3139.68,Credit card (automatic),Yes,Yes,0,Yes,Yes,1,0
CUST00115,62,Month-to-month,No,85.23,5143.46,Electronic check,Yes,No,0,No,Yes,1,0
CUST00116,51,Month-to-month,No,62.86,3173.21,Mailed check,Yes,Yes,1,Yes,No,2,0
CUST00117,3,Month-to-month,DSL,89.13,261.71,Electronic check,No,No,0,Yes,No,1,1
CUST00118,22,Month-to-month,DSL,82.67,1773.59,Electronic check,No,Yes,0,No,Yes,1,1
CUST00119,14,One year,No,29.69,411.19,Bank transfer (automatic),No,Yes,0,No,No,2,1
CUST00120,42,One year,Fiber optic,97.67,4025.8,Mailed check,No,No,1,Yes,No,1,1
CUST00121,28,Two year,DSL,91.51,2444.05,Bank transfer (automatic),No,Yes,0,Yes,Yes,1,0
CUST00122,35,Month-to-month,DSL,84.9,2869.65,Mailed check,Yes,No,0,No,Yes,0,0
CUST00123,12,Month-to-month,Fiber optic,33.82,398.17,Electronic check,No,No,0,Yes,No,2,0
CUST00124,31,Month-to-month,Fiber optic,45.34,1398.78,Electronic check,No,No,0,Yes,Yes,1,0
CUST00125,70,Month-to-month,DSL,58.1,4053.38,Credit card (automatic),No,Yes,1,Yes,Yes,0,0
CUST00126,58,Month-to-month,DSL,46.55,2678.15,Electronic check,Yes,No,0,No,Yes,2,0
CUST00127,27,Two year,No,41.24,1071.96,Electronic check,Yes,No,0,No,Yes,0,0
CUST00128,65,Two year,Fiber optic,100.15,6338.34,Credit card (automatic),No,No,0,No,Yes,1,0
CUST00129,41,Month-to-month,Fiber optic,83.1,3310.58,Credit card (automatic),No,Yes,0,No,Yes,0,1
CUST00130,44,One year,Fiber optic,75.68,3236.46,Bank transfer (automatic),Yes,No,0,No,No,0,0
CUST00131,61,Month-to-month,Fiber optic,41.05,2385.08,Electronic check,No,No,1,Yes,Yes,2,0
CUST00132,56,Month-to-month,Fiber optic,111.64,5993.53,Electronic check,Yes,No,0,No,Yes,0,0
CUST00133,5,One year,Fiber optic,37.5,179.56,Credit card (automatic),No,No,0,No,Yes,2,1
CUST00134,27,Month-to-month,DSL,99.08,2623.97,Credit card (automatic),Yes,No,0,No,No,2,1
CUST00135,27,Two year,Fiber optic,116.6,3055.61,Bank transfer (automatic),Yes,Yes,0,Yes,Yes,1,0
CUST00136,43,One year,Fiber optic,92.16,3829.01,Electronic check,Yes,Yes,0,Yes,Yes,1,0
CUST00137,29,Month-to-month,No,119.27,3362.66,Electronic check,No,Yes,0,No,Yes,1,1
CUST00138,61,One year,DSL,84.41,4975.03,Electronic check,Yes,Yes,0,Yes,Yes,0,0
CUST00139,61,Month-to-month,No,40.18,2421.26,Bank transfer (automatic),No,No,0,Yes,Yes,1,0
CUST00140,0,Month-to-month,No,38.79,37.17,Electronic check,No,No,0,Yes,No,1,0
CUST00141,26,Month-to-month,DSL,51.11,1266.15,Credit card (automatic),Yes,No,0,Yes,No,0,0
CUST00142,61,Month-to-month,Fiber optic,18.73,1122.58,Electronic check,No,No,0,Yes,Yes,0,0
CUST00143,2,One year,Fiber optic,87.53,168.33,Bank transfer (automatic),Yes,No,0,Yes,Yes,0,1
CUST00144,69,Month-to-month,No,45.4,3076.74,Electronic check,Yes,Yes,0,No,Yes,4,0
CUST00145,71,One year,Fiber optic,101.15,6843.59,Mailed check,Yes,No,0,Yes,Yes,5,0
CUST00146,26,One year,Fiber optic,54.64,1367.16,Electronic check,Yes,No,0,No,No,0,0
CUST00147,8,Month-to-month,Fiber optic,66.96,513.02,Bank transfer (automatic),No,No,0,Yes,Yes,0,1
CUST00148,61,Two year,DSL,116.5,6854.46,Bank transfer (automatic),Yes,No,1,Yes,Yes,2,0
CUST00149,36,Month-to-month,DSL,42.7,1485.62,Electronic check,No,No,0,No,Yes,2,0
CUST00150,50,Month-to-month,Fiber optic,91.57,4462.94,Credit card (automatic),No,No,0,No,Yes,2,0
CUST00151,43,Month-to-month,Fiber optic,95.02,3987.83,Mailed check,No,No,0,No,No,2,0
CUST00152,23,Month-to-month,Fiber optic,40.54,915.17,Credit card (automatic),No,Yes,0,Yes,Yes,0,1
CUST00153,58,Month-to-month,Fiber optic,69.1,3873.87,Credit card (automatic),No,Yes,0,Yes,No,1,0
CUST00154,31,One year,DSL,53.72,1626.35,Credit card (automatic),No,No,0,No,No,2,1
CUST00155,51,Month-to-month,Fiber optic,96.73,4930.79,Electronic check,No,No,1,Yes,Yes,1,0
CUST00156,61,Month-to-month,DSL,81.49,4774.7,Electronic check,Yes,Yes,0,No,No,1,0
CUST00157,57,Two year,No,66.55,3632.65,Credit card (automatic),No,No,0,No,Yes,0,0
CUST00158,51,One year,No,97.5,4933.36,Mailed check,No,No,0,No,Yes,1,0
CUST00159,11,Two year,Fiber optic,41.99,448.27,Electronic check,No,No,0,No,No,0,1
CUST00160,38,Month-to-month,DSL,94.87,3577.46,Bank transfer (automatic),Yes,No,0,Yes,Yes,3,1
CUST00161,1,One year,DSL,106.27,103.21,Electronic check,Yes,No,0,Yes,Yes,0,0
CUST00162,2,Two year,Fiber optic,107.62,204.71,Bank transfer (automatic),Yes,No,0,No,No,1,0
CUST00163,55,One year,Fiber optic,97.93,5217.8,Credit card (automatic),No,Yes,0,No,No,0,0
CUST00164,58,One year,Fiber optic,59.62,3390.55,Credit card (automatic),Yes,No,0,Yes,Yes,0,0
CUST00165,1,Month-to-month,DSL,118.14,114.88,Electronic check,No,Yes,0,Yes,No,2,0
CUST00166,1,Month-to-month,Fiber optic,56.72,55.19,Mailed check,No,Yes,0,Yes,No,1,1
CUST00167,53,Month-to-month,Fiber optic,83.14,4406.05,Mailed check,Yes,No,0,No,Yes,3,1
CUST00168,0,Month-to-month,DSL,34.43,33.65,Mailed check,No,No,0,Yes,Yes,0,0
CUST00169,18,Two year,Fiber optic,118.01,2091.99,Electronic check,No,No,0,No,No,1,0
CUST00170,1,Month-to-month,DSL,89.81,88.56,Mailed check,Yes,Yes,1,No,No,2,0
CUST00171,52,Two year,Fiber optic,94.84,4685.14,Mailed check,No,No,0,No,Yes,2,0
CUST00172,43,Two year,No,24.71,1038.75,Mailed check,No,Yes,0,No,Yes,1,0
CUST00173,31,Month-to-month,Fiber optic,95.87,2966.48,Credit card (automatic),No,Yes,0,Yes,No,1,0
CUST00174,69,Month-to-month,No,97.02,6610.98,Mailed check,No,No,0,Yes,Yes,1,0
CUST00175,31,Two year,Fiber optic,86.52,2593.67,Electronic check,No,No,1,No,No,0,0
CUST00176,67,Two year,DSL,47.77,3098.9,Bank transfer (automatic),Yes,No,0,No,Yes,1,0
CUST00177,54,Month-to-month,Fiber optic,67.95,3541.54,Credit card (automatic),No,No,1,Yes,No,1,1
CUST00178,55,Month-to-month,Fiber optic,29.26,1579.54,Electronic check,Yes,No,0,No,Yes,3,0
CUST00179,16,Month-to-month,Fiber optic,66.1,1009.87,Bank transfer (automatic),No,Yes,1,Yes,No,1,0
CUST00180,37,One year,DSL,42.87,1529.88,Electronic check,Yes,Yes,0,Yes,Yes,1,0
CUST00181,23,Month-to-month,Fiber optic,53.61,1202.09,Electronic check,Yes,No,0,No,Yes,2,1
CUST00182,68,One year,DSL,34.59,2297.46,Credit card (automatic),Yes,No,1,No,No,1,0
CUST00183,69,Month-to-month,DSL,41.47,2805.26,Credit card (automatic),No,No,0,Yes,Yes,1,0
CUST00184,10,Month-to-month,Fiber optic,25.81,255.48,Bank transfer (automatic),No,Yes,0,Yes,Yes,1,1
CUST00185,15,Month-to-month,DSL,111.83,1607.27,Bank transfer (automatic),No,No,0,Yes,No,1,0
CUST00186,72,Month-to-month,No,72.1,4990.04,Credit card (automatic),Yes,Yes,0,No,Yes,0,0
CUST00187,58,Month-to-month,Fiber optic,58.47,3369.61,Credit card (automatic),No,No,0,No,No,2,0
CUST00188,69,Month-to-month,Fiber optic,72.57,4965.06,Mailed check,Yes,No,0,Yes,Yes,1,0
CUST00189,2,Month-to-month,Fiber optic,82.09,162.72,Bank transfer (automatic),Yes,Yes,0,No,No,0,1
CUST00190,19,Month-to-month,Fiber optic,112.03,2044.34,Mailed check,No,No,0,Yes,Yes,0,1
CUST00191,58,Month-to-month,DSL,36.23,2002.39,Electronic check,No,No,0,No,Yes,1,1
CUST00192,35,Two year,No,48.15,1645.09,Mailed check,Yes,No,0,No,No,3,0
CUST00193,18,Month-to-month,Fiber optic,117.53,2101.79,Credit card (automatic),No,No,1,No,Yes,1,0
CUST00194,66,Month-to-month,No,55.86,3546.21,Credit card (automatic),No,No,0,No,No,2,0
CUST00195,18,One year,Fiber optic,20.3,363.65,Credit card (automatic),No,No,0,No,No,0,0
CUST00196,19,Two year,DSL,33.06,601.18,Electronic check,Yes,No,1,Yes,No,2,0
CUST00197,70,Month-to-month,Fiber optic,20.69,1397.47,Mailed check,No,Yes,0,No,Yes,1,0
CUST00198,51,One year,DSL,118.97,5854.59,Electronic check,Yes,Yes,0,Yes,Yes,0,0
CUST00199,32,One year,Fiber optic,46.44,1423.0,Electronic check,Yes,Yes,0,No,Yes,1,0
CUST00200,39,One year,DSL,112.2,4347.97,Credit card (automatic),Yes,No,0,No,Yes,0,0
CUST00201,38,Month-to-month,Fiber optic,119.58,4410.58,Mailed check,No,No,0,No,Yes,1,1
CUST00202,0,One year,No,79.18,75.98,Bank transfer (automatic),Yes,No,0,Yes,No,0,0
CUST00203,10,Month-to-month,Fiber optic,21.39,204.78,Electronic check,No,Yes,1,No,Yes,2,0
CUST00204,56,One year,No,26.32,1431.24,Mailed check,Yes,No,0,No,No,3,0
CUST00205,49,One year,Fiber optic,67.12,3127.28,Bank transfer (automatic),No,No,0,Yes,No,0,1
CUST00206,22,Month-to-month,Fiber optic,59.43,1250.0,Electronic check,No,Yes,0,No,Yes,3,1
CUST00207,30,Two year,No,79.83,2275.6,Electronic check,Yes,No,0,Yes,Yes,1,0
CUST00208,41,Month-to-month,No,62.76,2447.64,Electronic check,No,No,0,Yes,Yes,0,0
CUST00209,6,Two year,Fiber optic,113.28,679.59,Bank transfer (automatic),Yes,No,0,No,No,2,1
CUST00210,15,Month-to-month,DSL,72.54,1058.12,Credit card (automatic),Yes,No,0,Yes,No,0,0
CUST00211,59,Month-to-month,Fiber optic,88.76,5165.86,Credit card (automatic),No,No,0,No,No,0,1
CUST00212,1,Month-to-month,DSL,109.44,108.0,Credit card (automatic),No,No,0,No,No,3,1
CUST00213,0,Two year,Fiber optic,32.98,32.78,Credit card (automatic),No,Yes,0,Yes,Yes,1,0
CUST00214,47,Month-to-month,Fiber optic,41.43,1859.95,Credit card (automatic),No,No,0,No,Yes,0,0
CUST00215,11,Month-to-month,No,28.95,310.9,Bank transfer (automatic),Yes,No,0,Yes,Yes,2,0
CUST00216,68,Month-to-month,No,32.24,2117.97,Mailed check,No,No,0,Yes,No,1,0
CUST00217,36,One year,Fiber optic,70.28,2472.96,Mailed check,No,Yes,0,No,Yes,1,1
CUST00218,31,Month-to-month,DSL,50.76,1521.01,Credit card (automatic),Yes,No,0,No,Yes,1,0
CUST00219,8,Month-to-month,No,61.16,469.31,Electronic check,Yes,No,0,No,Yes,2,1
CUST00220,18,Month-to-month,DSL,118.21,2092.97,Electronic check,No,Yes,0,Yes,No,1,1
CUST00221,47,Month-to-month,Fiber optic,33.98,1520.28,Credit card (automatic),No,No,0,Yes,No,1,0
CUST00222,2,Month-to-month,DSL,73.16,145.55,Electronic check,Yes,No,0,No,Yes,2,1
CUST00223,19,Month-to-month,Fiber optic,28.08,510.75,Credit card (automatic),Yes,No,1,Yes,No,0,0
CUST00224,23,One year,No,50.49,1138.92,Bank transfer (automatic),No,Yes,1,Yes,Yes,0,0
CUST00225,53,Month-to-month,DSL,71.81,3759.16,Electronic check,No,Yes,1,No,Yes,1,0
CUST00226,32,Month-to-month,Fiber optic,114.56,3495.99,Bank transfer (automatic),Yes,No,0,Yes,Yes,3,0
CUST00227,23,Month-to-month,DSL,57.91,1325.49,Credit card (automatic),No,No,0,Yes,Yes,1,0
CUST00228,71,Two year,No,24.62,1691.75,Electronic check,No,Yes,1,Yes,Yes,1,0
CUST00229,35,Two year,No,57.59,2015.32,Credit card (automatic),Yes,Yes,0,No,Yes,3,0
CUST00230,37,Two year,DSL,32.87,1159.56,Credit card (automatic),No,Yes,0,No,No,0,0
CUST00231,24,Month-to-month,DSL,41.46,980.95,Electronic check,Yes,No,0,Yes,Yes,0,0
CUST00232,17,Month-to-month,Fiber optic,81.05,1320.03,Electronic check,No,No,0,No,Yes,0,1
CUST00233,65,Month-to-month,DSL,24.88,1568.9,Electronic check,Yes,No,0,No,No,0,0
CUST00234,53,Month-to-month,Fiber optic,65.4,3369.7,Electronic check,Yes,No,0,Yes,No,0,0
CUST00235,34,Month-to-month,DSL,80.17,2644.85,Electronic check,Yes,No,1,No,No,0,1
CUST00236,60,One year,DSL,61.03,3540.52,Bank transfer (automatic),Yes,No,0,Yes,Yes,0,0
CUST00237,40,Two year,Fiber optic,19.95,788.71,Mailed check,No,Yes,0,No,No,0,0
CUST00238,32,Two year,DSL,118.52,3758.49,Credit card (automatic),No,No,0,Yes,Yes,3,0
CUST00239,67,Month-to-month,No,55.45,3591.74,Electronic check,Yes,No,0,Yes,Yes,1,0
CUST00240,32,One year,DSL,97.41,3036.49,Mailed check,Yes,No,0,No,Yes,0,0
CUST00241,13,Month-to-month,DSL,51.22,646.61,Bank transfer (automatic),No,No,0,No,Yes,1,1
CUST00242,20,Month-to-month,No,66.45,1301.99,Credit card (automatic),Yes,Yes,0,Yes,Yes,3,0
CUST00243,47,One year,Fiber optic,57.62,2593.08,Mailed check,Yes,Yes,0,Yes,No,2,0
CUST00244,19,Month-to-month,Fiber optic,52.94,996.09,Mailed check,No,No,1,No,Yes,1,1
CUST00245,7,Month-to-month,DSL,20.23,140.17,Credit card (automatic),No,Yes,0,Yes,No,0,0
CUST00246,6,Month-to-month,Fiber optic,54.72,321.6,Electronic check,No,Yes,1,No,No,1,1
CUST00247,66,One year,Fiber optic,108.73,7085.09,Electronic check,No,No,0,Yes,Yes,1,0
CUST00248,16,One year,DSL,88.42,1413.91,Mailed check,Yes,No,0,No,Yes,0,1
CUST00249,32,Month-to-month,No,32.83,1046.49,Credit card (automatic),No,Yes,0,Yes,Yes,2,0
CUST00250,47,Two year,Fiber optic,78.3,3608.6,Electronic check,Yes,Yes,0,Yes,Yes,0,0
CUST00251,58,Month-to-month,Fiber optic,109.01,6168.12,Bank transfer (automatic),Yes,Yes,0,No,No,2,0
CUST00252,21,Month-to-month,Fiber optic,89.4,1833.71,Bank transfer (automatic),No,No,0,Yes,Yes,2,1
CUST00253,29,One year,Fiber optic,33.17,936.28,Credit card (automatic),No,No,1,No,Yes,0,0
CUST00254,37,One year,DSL,106.52,3838.81,Electronic check,Yes,Yes,0,Yes,Yes,1,1
CUST00255,50,Two year,Fiber optic,48.76,2405.34,Electronic check,Yes,No,1,Yes,No,0,0
CUST00256,53,Month-to-month,DSL,64.32,3407.62,Mailed check,No,Yes,0,No,Yes,2,0
CUST00257,7,One year,Fiber optic,71.67,477.74,Mailed check,No,Yes,0,Yes,No,0,0
CUST00258,26,One year,Fiber optic,104.75,2618.67,Bank transfer (automatic),No,No,0,Yes,Yes,0,0
CUST00259,26,Two year,Fiber optic,113.02,2822.48,Bank transfer (automatic),No,Yes,0,Yes,No,1,0
CUST00260,20,Month-to-month,No,112.82,2237.54,Bank transfer (automatic),No,No,0,Yes,No,2,0
CUST00261,29,One year,DSL,18.81,529.66,Credit card (automatic),No,No,0,Yes,No,2,0
